media_id,related_media_id,relation_type
21,466,SIDE_STORY
21,1094,SIDE_STORY
21,1237,SIDE_STORY
21,1238,SIDE_STORY
21,2020,SIDE_STORY
21,2386,SIDE_STORY
21,2490,SIDE_STORY
21,12001,SIDE_STORY
21,16239,SIDE_STORY
21,16468,SIDE_STORY
21,15323,SUMMARY
21,19123,SUMMARY
21,20835,SIDE_STORY
21,21230,SUMMARY
21,21485,SIDE_STORY
21,21831,SIDE_STORY
21,99302,SUMMARY
21,459,SIDE_STORY
21,460,SIDE_STORY
21,461,SIDE_STORY
21,462,SIDE_STORY
21,463,SIDE_STORY
21,464,SIDE_STORY
21,465,SIDE_STORY
21,2107,SUMMARY
21,3848,SUMMARY
21,4155,SIDE_STORY
21,9999,SIDE_STORY
21,12859,SIDE_STORY
21,21335,SIDE_STORY
21,96427,ADAPTATION
21,30013,ADAPTATION
21,101918,SUMMARY
21,8740,SIDE_STORY
21,105143,SIDE_STORY
21,102639,CHARACTER
21,106492,CHARACTER
21,106572,SUMMARY
21,107110,OTHER
21,107256,CHARACTER
21,2385,SIDE_STORY
21,101099,CHARACTER
21,21880,SIDE_STORY
21,5252,ALTERNATIVE
21,30793,ADAPTATION
21,113308,CHARACTER
21,114761,CHARACTER
21,10033,CHARACTER
21,813,CHARACTER
21,126649,SIDE_STORY
21,134184,ADAPTATION
21,141902,SIDE_STORY
21,143293,OTHER
21,167404,PREQUEL
21880,21831,PREQUEL
21880,21335,SEQUEL
21880,21,PARENT
21335,21,PARENT
21335,21880,PREQUEL
21335,105143,SEQUEL
21335,21831,PREQUEL
21831,21,PARENT
21831,21880,SEQUEL
21831,21335,SEQUEL
105143,21,PARENT
105143,21335,PREQUEL
105143,128292,ADAPTATION
128292,105143,ADAPTATION
128292,30013,PARENT
30013,15323,ADAPTATION
30013,2107,ADAPTATION
30013,19123,ADAPTATION
30013,21,ADAPTATION
30013,35114,ALTERNATIVE
30013,101918,ADAPTATION
30013,102533,SPIN_OFF
30013,103252,SPIN_OFF
30013,3848,ADAPTATION
30013,96427,SIDE_STORY
30013,44414,SIDE_STORY
30013,41926,CHARACTER
30013,47152,SIDE_STORY
30013,105234,SIDE_STORY
30013,82353,SPIN_OFF
30013,53251,SPIN_OFF
30013,30881,CHARACTER
30013,99302,ADAPTATION
30013,30793,ALTERNATIVE
30013,106572,ADAPTATION
30013,55146,CHARACTER
30013,110232,SPIN_OFF
30013,110233,SPIN_OFF
30013,110258,SPIN_OFF
30013,110259,SPIN_OFF
30013,104664,SPIN_OFF
30013,110409,SPIN_OFF
30013,110715,SPIN_OFF
30013,113686,SPIN_OFF
30013,117802,SPIN_OFF
30013,119425,SPIN_OFF
30013,125826,PREQUEL
30013,128291,SIDE_STORY
30013,128292,SIDE_STORY
30013,134184,ALTERNATIVE
30013,138283,ALTERNATIVE
