media_id,score,amount
21,10,2167
21,20,621
21,30,954
21,40,1694
21,50,3545
21,60,5689
21,70,13621
21,80,23973
21,90,46694
21,100,87256
21880,10,25
21880,20,21
21880,30,40
21880,40,86
21880,50,267
21880,60,518
21880,70,850
21880,80,495
21880,90,268
21880,100,311
21335,10,50
21335,20,33
21335,30,109
21335,40,208
21335,50,662
21335,60,1509
21335,70,4307
21335,80,6248
21335,90,3865
21335,100,2122
21831,10,33
21831,20,34
21831,30,92
21831,40,167
21831,50,431
21831,60,916
21831,70,2214
21831,80,1882
21831,90,893
21831,100,615
105143,10,95
105143,20,59
105143,30,119
105143,40,214
105143,50,551
105143,60,1324
105143,70,3210
105143,80,6332
105143,90,5840
105143,100,4067
128292,40,1
128292,50,3
128292,60,7
128292,70,18
128292,80,12
128292,90,16
128292,100,18
30013,10,481
30013,20,111
30013,30,145
30013,40,226
30013,50,567
30013,60,966
30013,70,2633
30013,80,5722
30013,90,15446
30013,100,37252
119425,40,1
119425,50,4
119425,60,10
119425,70,23
119425,80,37
119425,90,32
119425,100,32
125826,40,8
125826,50,20
125826,60,55
125826,70,117
125826,80,113
125826,90,64
125826,100,41
30793,10,3
30793,20,4
30793,30,18
30793,40,41
30793,50,184
30793,60,306
30793,70,634
30793,80,439
30793,90,215
30793,100,100
134184,10,1
134184,20,1
134184,40,10
134184,50,23
134184,60,51
134184,70,86
134184,80,90
134184,90,50
134184,100,33
35114,10,2
35114,20,4
35114,30,14
35114,40,28
35114,50,123
35114,60,245
35114,70,388
35114,80,204
35114,90,97
35114,100,42
5252,10,33
5252,20,19
5252,30,49
5252,40,117
5252,50,425
5252,60,810
5252,70,1475
5252,80,863
5252,90,416
5252,100,354
134185,10,1
134185,30,4
134185,40,6
134185,50,15
134185,60,27
134185,70,28
134185,80,15
134185,90,13
134185,100,5
134186,20,2
134186,40,3
134186,50,11
134186,60,25
134186,70,29
134186,80,15
134186,90,21
134186,100,5
147146,10,1
147146,30,1
147146,40,2
147146,50,18
147146,60,22
147146,70,15
147146,80,15
147146,90,5
