media_id,status,amount
21,CURRENT,295072
21,PLANNING,68220
21,COMPLETED,21411
21,DROPPED,30290
21,PAUSED,56838
21880,CURRENT,89
21880,PLANNING,1118
21880,COMPLETED,5273
21880,DROPPED,48
21880,PAUSED,39
21335,CURRENT,553
21335,PLANNING,5461
21335,COMPLETED,32479
21335,DROPPED,107
21335,PAUSED,137
21831,CURRENT,288
21831,PLANNING,2849
21831,COMPLETED,12736
21831,DROPPED,79
21831,PAUSED,76
105143,CURRENT,819
105143,PLANNING,6460
105143,COMPLETED,33670
105143,DROPPED,106
105143,PAUSED,132
128292,CURRENT,13
128292,PLANNING,189
128292,COMPLETED,146
128292,DROPPED,3
128292,PAUSED,5
30013,CURRENT,115189
30013,PLANNING,20259
30013,COMPLETED,5947
30013,DROPPED,4188
30013,PAUSED,11630
119425,CURRENT,41
119425,PLANNING,817
119425,COMPLETED,228
119425,DROPPED,5
119425,PAUSED,11
125826,CURRENT,48
125826,PLANNING,424
125826,COMPLETED,724
125826,DROPPED,1
125826,PAUSED,7
30793,CURRENT,138
30793,PLANNING,996
30793,COMPLETED,3104
30793,DROPPED,16
30793,PAUSED,43
134184,CURRENT,21
134184,PLANNING,235
134184,COMPLETED,733
134184,DROPPED,2
134184,PAUSED,5
35114,CURRENT,23
35114,PLANNING,329
35114,COMPLETED,1854
35114,DROPPED,4
35114,PAUSED,12
5252,CURRENT,167
5252,PLANNING,1954
5252,COMPLETED,8001
5252,DROPPED,57
5252,PAUSED,70
134185,CURRENT,2
134185,PLANNING,25
134185,COMPLETED,230
134185,DROPPED,0
134185,PAUSED,0
134186,CURRENT,2
134186,PLANNING,31
134186,COMPLETED,232
134186,DROPPED,1
134186,PAUSED,0
147146,CURRENT,1
147146,PLANNING,23
147146,COMPLETED,174
147146,DROPPED,1
147146,PAUSED,0
167404,CURRENT,20
167404,PLANNING,2047
167404,COMPLETED,8
167404,DROPPED,3
167404,PAUSED,6
53251,CURRENT,18
53251,PLANNING,131
53251,COMPLETED,161
53251,DROPPED,15
53251,PAUSED,16
82353,CURRENT,14
82353,PLANNING,181
82353,COMPLETED,121
82353,DROPPED,21
82353,PAUSED,19
102533,CURRENT,236
102533,PLANNING,363
102533,COMPLETED,207
102533,DROPPED,49
102533,PAUSED,107
3848,CURRENT,142
3848,PLANNING,2083
3848,COMPLETED,9169
3848,DROPPED,74
3848,PAUSED,100
107110,CURRENT,39
107110,PLANNING,640
107110,COMPLETED,1162
107110,DROPPED,48
107110,PAUSED,31
2107,CURRENT,178
2107,PLANNING,2039
2107,COMPLETED,10017
2107,DROPPED,90
2107,PAUSED,93
106572,CURRENT,65
106572,PLANNING,821
106572,COMPLETED,3035
106572,DROPPED,52
106572,PAUSED,34
465,CURRENT,167
465,PLANNING,2439
465,COMPLETED,10779
465,DROPPED,68
465,PAUSED,99
464,CURRENT,290
464,PLANNING,3991
464,COMPLETED,17381
464,DROPPED,91
464,PAUSED,117
463,CURRENT,187
463,PLANNING,2331
463,COMPLETED,11989
463,DROPPED,77
463,PAUSED,93
462,CURRENT,219
462,PLANNING,2672
462,COMPLETED,14469
462,DROPPED,70
462,PAUSED,100
461,CURRENT,162
461,PLANNING,2129
461,COMPLETED,13131
461,DROPPED,81
461,PAUSED,84
2386,CURRENT,92
2386,PLANNING,1322
2386,COMPLETED,7359
2386,DROPPED,64
2386,PAUSED,37
460,CURRENT,190
460,PLANNING,2190
460,COMPLETED,15575
460,DROPPED,71
460,PAUSED,90
2385,CURRENT,79
2385,PLANNING,1120
2385,COMPLETED,6438
2385,DROPPED,60
2385,PAUSED,37
459,CURRENT,619
459,PLANNING,2686
459,COMPLETED,19845
459,DROPPED,110
459,PAUSED,123
4155,CURRENT,487
4155,PLANNING,4480
4155,COMPLETED,33923
4155,DROPPED,112
4155,PAUSED,148
8740,CURRENT,134
8740,PLANNING,1799
8740,COMPLETED,11927
8740,DROPPED,53
8740,PAUSED,62
47152,CURRENT,71
47152,PLANNING,522
47152,COMPLETED,2341
47152,DROPPED,10
47152,PAUSED,12
9999,CURRENT,123
9999,PLANNING,1686
9999,COMPLETED,8118
9999,DROPPED,97
9999,PAUSED,69
12859,CURRENT,664
12859,PLANNING,4954
12859,COMPLETED,38542
12859,DROPPED,111
12859,PAUSED,149
16468,CURRENT,126
16468,PLANNING,1534
16468,COMPLETED,6219
16468,DROPPED,57
16468,PAUSED,49
16239,CURRENT,165
16239,PLANNING,1698
16239,COMPLETED,7342
16239,DROPPED,60
16239,PAUSED,58
105234,CURRENT,16
105234,PLANNING,172
105234,COMPLETED,112
105234,DROPPED,4
105234,PAUSED,3
466,CURRENT,123
466,PLANNING,1506
466,COMPLETED,7179
466,DROPPED,55
466,PAUSED,61
113686,CURRENT,17
113686,PLANNING,353
113686,COMPLETED,48
113686,DROPPED,2
113686,PAUSED,4
110232,CURRENT,9
110232,PLANNING,155
110232,COMPLETED,44
110232,DROPPED,5
110232,PAUSED,5
110233,CURRENT,50
110233,PLANNING,269
110233,COMPLETED,16
110233,DROPPED,10
110233,PAUSED,25
154266,CURRENT,16
154266,PLANNING,100
154266,COMPLETED,62
154266,DROPPED,2
154266,PAUSED,3
101918,CURRENT,183
101918,PLANNING,2198
101918,COMPLETED,6155
101918,DROPPED,82
101918,PAUSED,53
30881,CURRENT,24
30881,PLANNING,269
30881,COMPLETED,2007
30881,DROPPED,7
30881,PAUSED,8
30042,CURRENT,4813
30042,PLANNING,6720
30042,COMPLETED,19770
30042,DROPPED,977
30042,PAUSED,2053
32897,CURRENT,29
32897,PLANNING,301
32897,COMPLETED,846
32897,DROPPED,14
32897,PAUSED,8
6033,CURRENT,2925
6033,PLANNING,6757
6033,COMPLETED,53366
6033,DROPPED,1824
6033,PAUSED,1647
813,CURRENT,8656
813,PLANNING,12972
813,COMPLETED,145496
813,DROPPED,4071
813,PAUSED,3942
896,CURRENT,184
896,PLANNING,1351
896,COMPLETED,21305
896,DROPPED,74
896,PAUSED,63
138864,CURRENT,26
138864,PLANNING,271
138864,COMPLETED,734
138864,DROPPED,25
138864,PAUSED,15
897,CURRENT,165
897,PLANNING,1364
897,COMPLETED,19926
897,DROPPED,76
897,PAUSED,56
898,CURRENT,212
898,PLANNING,1397
898,COMPLETED,24526
898,DROPPED,74
898,PAUSED,66
899,CURRENT,169
899,PLANNING,1326
899,COMPLETED,21769
899,DROPPED,71
899,PAUSED,55
502,CURRENT,163
502,PLANNING,1403
502,COMPLETED,10210
502,DROPPED,69
502,PAUSED,51
891,CURRENT,106
891,PLANNING,1331
891,COMPLETED,9022
891,DROPPED,61
891,PAUSED,53
892,CURRENT,105
892,PLANNING,1314
892,COMPLETED,8468
892,DROPPED,60
892,PAUSED,52
2222,CURRENT,261
2222,PLANNING,1346
2222,COMPLETED,1213
2222,DROPPED,274
2222,PAUSED,293
8546,CURRENT,16
8546,PLANNING,173
8546,COMPLETED,288
8546,DROPPED,19
8546,PAUSED,13
8547,CURRENT,9
8547,PLANNING,144
8547,COMPLETED,217
8547,DROPPED,15
8547,PAUSED,11
8548,CURRENT,12
8548,PLANNING,141
8548,COMPLETED,211
8548,DROPPED,15
8548,PAUSED,12
7816,CURRENT,10
7816,PLANNING,142
7816,COMPLETED,215
7816,DROPPED,13
7816,PAUSED,11
6028,CURRENT,10
6028,PLANNING,153
6028,COMPLETED,251
6028,DROPPED,15
6028,PAUSED,14
30796,CURRENT,473
30796,PLANNING,1818
30796,COMPLETED,1186
30796,DROPPED,226
30796,PAUSED,391
94626,CURRENT,16
94626,PLANNING,128
94626,COMPLETED,37
94626,DROPPED,1
94626,PAUSED,8
41926,CURRENT,17
41926,PLANNING,284
41926,COMPLETED,922
41926,DROPPED,5
41926,PAUSED,4
31505,CURRENT,275
31505,PLANNING,1614
31505,COMPLETED,387
31505,DROPPED,144
31505,PAUSED,195
129539,CURRENT,2
129539,PLANNING,23
129539,COMPLETED,32
129539,DROPPED,2
129539,PAUSED,1
63617,CURRENT,3
63617,PLANNING,41
63617,COMPLETED,34
63617,DROPPED,2
63617,PAUSED,1
41521,CURRENT,2
41521,PLANNING,12
41521,COMPLETED,33
41521,DROPPED,1
41521,PAUSED,0
41210,CURRENT,32
41210,PLANNING,285
41210,COMPLETED,141
41210,DROPPED,9
41210,PAUSED,11
1050,CURRENT,885
1050,PLANNING,5923
1050,COMPLETED,6199
1050,DROPPED,1251
1050,PAUSED,1125
21170,CURRENT,9479
21170,PLANNING,34383
21170,COMPLETED,210302
21170,DROPPED,3146
21170,PAUSED,5611
97985,CURRENT,388
97985,PLANNING,2810
97985,COMPLETED,7819
97985,DROPPED,489
97985,PAUSED,419
21864,CURRENT,99
21864,PLANNING,2800
21864,COMPLETED,2252
21864,DROPPED,99
21864,PAUSED,122
20755,CURRENT,26891
20755,PLANNING,85931
20755,COMPLETED,298950
20755,DROPPED,16267
20755,PAUSED,20291
101102,CURRENT,412
101102,PLANNING,8472
101102,COMPLETED,19565
101102,DROPPED,235
101102,PAUSED,270
69883,CURRENT,6301
69883,PLANNING,13774
69883,COMPLETED,17803
69883,DROPPED,1640
69883,PAUSED,2792
86949,CURRENT,180
86949,PLANNING,401
86949,COMPLETED,260
86949,DROPPED,59
86949,PAUSED,48
67755,CURRENT,1823
67755,PLANNING,6215
67755,COMPLETED,2960
67755,DROPPED,288
67755,PAUSED,600
104580,CURRENT,844
104580,PLANNING,10499
104580,COMPLETED,52560
104580,DROPPED,149
104580,PAUSED,228
112625,CURRENT,1660
112625,PLANNING,10977
112625,COMPLETED,55753
112625,DROPPED,479
112625,PAUSED,714
98034,CURRENT,6574
98034,PLANNING,20657
98034,COMPLETED,100150
98034,DROPPED,1310
98034,PAUSED,3036
21804,CURRENT,21775
21804,PLANNING,48529
21804,COMPLETED,149414
21804,DROPPED,8199
21804,PAUSED,14060
19469,CURRENT,241
19469,PLANNING,2850
19469,COMPLETED,8016
19469,DROPPED,124
19469,PAUSED,95
918,CURRENT,34092
918,PLANNING,87312
918,COMPLETED,52423
918,DROPPED,9045
918,PAUSED,25179
6945,CURRENT,108
6945,PLANNING,2536
6945,COMPLETED,7993
6945,DROPPED,72
6945,PAUSED,78
30044,CURRENT,4838
30044,PLANNING,9992
30044,COMPLETED,5552
30044,DROPPED,875
30044,PAUSED,2139
99714,CURRENT,1108
99714,PLANNING,12706
99714,COMPLETED,25092
99714,DROPPED,310
99714,PAUSED,607
100784,CURRENT,1324
100784,PLANNING,16107
100784,COMPLETED,26322
100784,DROPPED,366
100784,PAUSED,596
101925,CURRENT,1257
101925,PLANNING,15218
101925,COMPLETED,23765
101925,DROPPED,311
101925,PAUSED,459
126819,CURRENT,404
126819,PLANNING,7904
126819,COMPLETED,12081
126819,DROPPED,87
126819,PAUSED,123
114129,CURRENT,1044
114129,PLANNING,16622
114129,COMPLETED,16487
114129,DROPPED,205
114129,PAUSED,215
97889,CURRENT,1837
97889,PLANNING,25270
97889,COMPLETED,33718
97889,DROPPED,516
97889,PAUSED,780
20996,CURRENT,5235
20996,PLANNING,39973
20996,COMPLETED,40092
20996,DROPPED,1498
20996,PAUSED,2512
15335,CURRENT,530
15335,PLANNING,12033
15335,COMPLETED,28473
15335,DROPPED,243
15335,PAUSED,236
15417,CURRENT,1338
15417,PLANNING,23572
15417,COMPLETED,37970
15417,DROPPED,394
15417,PAUSED,570
9969,CURRENT,3803
9969,PLANNING,32874
