media_id,synonym
21,ワンピース
21,海贼王
21,וואן פיס
21,ون بيس
21,วันพีซ
21,Vua Hải Tặc
21,All'arrembaggio!
21,Tutti all'arrembaggio!
21,"Ντρέηκ, το Κυνήγι του Θησαυρού"
21335,One Piece Film 13
21335,航海王之黄金城
105143,ワンピース スタンピード
105143,One Piece: Estampida
105143,航海王：狂热行动
105143,One Piece Film 14
30013,원피스
30013,וואן פיס 
30013,One Piece - Большой куш
30013,ワンピース
134184,Romance Dawn - Version 2
35114,Romance Dawn - Version 1
5252,One Piece Prototype
134185,Night Parade of One Demon
134185,Il viaggio notturno del demone
134186,God's Gift for the Future
134186,Il regalo del futuro piovuto dal cielo
147146,ウォンテッド
53251,"Chopperman: ¡Adelante, Sr. Chopper!"
3848,Miracle Sakura
3848,One Piece: Episodio de Chopper + El milagro del cerezo en invierno
3848,"One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura"
3848,One Piece Movie 09
3848,One Piece - Il miracolo dei ciliegi in fiore
107110,"One Piece: Banpresto's ""Cry Heart"" Short"
107110,Fuyujima ni Furu Sakura
107110,Children's Dream
107110,Ace no Saigo 
2107,One Piece Movie 8: Episode of Alabasta - The Desert Princess and the Pirates
2107,One Piece Película 8: La saga del Arabasta - Los piratas y la princesa del desierto
2107,One Piece Movie 08
2107,One Piece - Un'amicizia oltre i confini del mare
465,One Piece: Karakuri Shiro no Mecha Kyohei
465,One Piece Movie 07
465,One Piece: El gran soldado mecánico del castillo Karakuri
465,The Giant Mechanical Soldier of Karakuri Castle
465,One Piece: Schloss Karakuris Metall-Soldaten
465,One Piece - I misteri dell'isola meccanica
464,One Piece Movie 6
464,One Piece: El barón Omatsuri y la isla de los secretos
464,One Piece - L'isola segreta del barone Omatsuri
463,One Piece Movie 05
463,One Piece: La Maldición de la Espada Sagrada
463,One Piece: The Cursed Holy Sword
463,One Piece : La malédiction de l'épée sacrée
463,วันพีซ เดอะมูฟวี่ 5 วันดวลดาบ ต้องสาปมรณะ 
463,Vua Hải Tặc: Thánh kiếm bị nguyền rủa
463,One Piece - Der Fluch des heiligen Schwerts
463,One Piece - La spada delle sette stelle
462,One Piece Movie 04
462,One Piece: La Aventura sin Salida
462,The Adventure of Deadend
462,One Piece: Dead End
462,วันพีซ เดอะมูฟวี่ 4 การผจญภัยที่เดดเอนด์
462,Vua Hải Tặc: Cuộc đua tử thần
462,One Piece - Trappola mortale
461,One Piece Movie 03
461,วันพีซ เดอะมูฟวี่ 3 เกาะแห่งสรรพสัตว์และราชันย์ช็อปเปอร์ 
461,Vua Hải Tặc: Vương quốc Chopper trên đảo của những sinh vật lạ
461,One Piece: Chopper Kingdom of Strange Animal Island
461,One Piece - Il tesoro del re
2386,One Piece: Dream Soccer King!
460,One Piece Movie 02
460,วันพีซ เดอะมูฟวี่ 2 การผจญภัยบนเกาะแห่งฟันเฟือง
460,Vua Hải Tặc: Cuộc phiêu lưu đến đảo máy đồng hồ 
460,One Piece - Avventura all'Isola Spirale
459,One Piece: The Movie
459,One Piece (2000)
459,One Piece: La Película
459,วันพีซ เดอะมูฟวี่ 1 เกาะสมบัติแห่งวูนัน
459,Vua Hải Tặc: Đảo Châu Báu
459,One Piece: Golden Island Adventure
459,One Piece - Per tutto l'oro del mondo
4155,One Piece Film 10
4155,ワンピース ストロング ワールド
4155,One Piece: Strong World
4155,One Piece - Avventura sulle isole volanti
47152,One Piece Volume 0
47152,ワンピース 0
9999,One Piece 3D: Straw Hat Chase
9999,One Piece 3D - L'inseguimento di Cappello di Paglia
12859,One Piece Film 12: Z
12859,海贼王剧场版Z
12859,One Piece Gold - Il film
16468,One Piece: Glorious Island
16468,One Piece Special: Glorious Island
16468,ワンピース フィルム ゼット グロリアス アイランド
105234,ONE PIECE: Defeat Him! The Pirate Ganzack
105234,One Piece - À bas Gyanzack !
466,Defeat Him! The Pirate Ganzack!
466,ONE PIECE ジャンプスーパーアニメツアー'98
466,ONE PIECE Jump Super Anime Tour '98
113686,episode: NAMI - The shoe must go on!
113686,episode: ROBIN - Unscramble egg of the archeologists.
113686,episode: VIVI - The blue rose and the writingale.
113686,episode: PERONA - Nightmare after Nagashidaru.
113686,episode: HANCOCK - This is why Nyon-baa passed out.
113686,episode: TASHIGI - There is something about her
113686,episode: UTA - Where the wind goes.
110232,"Kobiyama, Who Looks Like Koby: Two Piece in a Pod"
110232,ONE PIECE: Koby-ni no Kobiyama Uri Futatsunagi no Daihihou
110233,航海王谈恋爱
110233,航海王談戀愛
154266,One Piece 1000 Story Memorial
30881,Kurosu Epokku
30881,Dragon Ball x One Piece - Cross Epoch
30042,Dragonball
30042,Dragon Ball Z
30042,Dragonball Z
30042,Bola de Drac
32897,Nekomajin Z
32897,Nekomajin
32897,Nekomajin: El Gato Mágico
6033,Dragonball Kai
6033,DBK
6033,DB Kai
6033,DBZ Kai
813,DBZ
813,Dragonball Z
813,דרגון בול זי
813,What's My Destiny Dragon Ball
813,ดราก้อนบอล Z
813,Bảy Viên Ngọc Rồng Z
896,Dragon Ball Z: La super batalla
896,ดราก้อนบอล Z เดอะมูฟวี่ 3 ศึกสะท้านพิภพ 
896,Bảy Viên Ngọc Rồng Z: Mầm Cây Sinh Lực 
138864,Dragon Ball Z: Extreme Battle!! The Three Great Super Saiyans – Special
138864,Dragon Ball Z: Summer Vacation Special
138864,Dragon Ball Z: Movie Overview Special
897,ดราก้อนบอล Z เดอะมูฟวี่ 4 ซูเปอร์ไซย่า ซุน โกคู 
897,Bảy Viên Ngọc Rồng Z: Chúa Tể Ốc Sên
898,Dragon Ball Z: The Strongest Rivals
898,Dragon Ball Z: The Best of Strongest versus Strongest
898,ดราก้อนบอล Z เดอะมูฟวี่ 5 การแก้แค้นของคูลเลอร์
898,Bảy Viên Ngọc Rồng Z: Cooler Phục Hận
899,Dragon Ball Z: Clash!! 10 Billion Power Warriors
899,ดราก้อนบอล Z เดอะมูฟวี่ 6 การกลับมาของคูลเลอร์ 
899,Bảy Viên Ngọc Rồng Z: Sự Trở Lại Của Cooler 
502,Dragon Ball: La Légende de Shéron
502,Dragonball: Die Legende von Shen Long
502,Dragon Ball - La leggenda delle sette sfere
502,Dragon Ball - La leggenda del drago Shenron
502,La leggenda di Dragon Ball
502,Dragon Ball: The Legend of Shenlong
891,Dragon Ball - La bella addormentata a Castel Demonio
891,Dragon Ball - La bella addormentata nel castello dei misteri
891,La leggenda di Dragon Ball
892,Dragon Ball - Il torneo di Miifan
2222,Dr. Slump & Arale-chan
2222,Dr. Slump 1
6028,Dr. Slump & Arale-chan HoYoYo! The Treasure of Nanaba Castle
6028,Dr. Slump Movie 4: Arale-chan Hoyoyo! Nanaba Shiro no Hihou
30796,Dr. Slump and Arale-Chan
94626,The Brief Return of Dr. Slump
94626,Dr. Slump Returns
94626,But Only For a Little While
31505,Bobobo
129539,Bobobo-Bo Bo-Bobo? - Sawai Yoshio Short Story Anthology
63617,Gekisen!! Janken Shima
41210,Dragon Bobobo
1050,Boboboobo Boobobo
1050,Bo-Bobo
1050,Boboboubo Boubobo
21170,فصل الاغتيال 2
21170,Klasa skrytobójców 2
20755,כיתת ההתנקשות
20755,فصل الاغتيال
20755,Klasa skrytobójców
101102,Assassination Classroom the Movie: 365 Days
69883,Ansatsu Kyoushitsu Extra
69883,Klasa Skrytobójców 
69883,Suikast Sınıfı
86949,Koro-sensei Quest
67755,Saiki Kusuo no Sainan
67755,Saiki Kusuo no Psi Nan
67755,The Disaster Of PSI Kusuo Saiki
67755,Chounouryokusha Saiki Kusuo no Sainan
67755,The Disastrous Life of Saiki K.
67755,Saiki - Kẻ siêu năng khốn khổ
104580,Saiki Kusuo no Psi Nan 3
112625,The Disastrous Life of Saiki K.
112625, Starting Arc
98034,Saiki Kusuo no Psi Nan 2
21804,חייו הרי-האסון של סאיקי ק
21804,Η Καταστροφική Ζωή του Σάικι Κ
19469,Saiki Kusuo no Psi Nan
918,Gin Tama
918,Silver Soul
918,גינטאמה
6945,Gintama OVA: Shiroyasha Koutan
6945,Gintama: Jump Anime Tour 2008 Special
30044,Dandelion
30044,Shiro Kuro
30044,Black and White
30044,גינטמה
30044,กินทามะ
99714,Gintama. (2017)
