staff_id,occupation
95043,Voice Actor
95202,Voice Actor
95203,Voice Actor
95313,Voice Actor
95313,ADR Director
95475,Voice Actor
95535,Voice Actor
95659,Voice Actor
95859,Voice Actor
96339,Voice Actor
96881,Mangaka
100067,Director
100162,Director
100163,Scriptwriter
100165,Scriptwriter
100170,Scriptwriter
100316,Producer
100653,Animator
100653,Storyboard Artist
100990,Voice Actor
101055,Composer
101167,Vocalist
101596,Editor
99980,Arranger
99980,Composer
121855,Background Artist
118971,Art Director
132478,Director
132478,Storyboard Artist
140342,Animator
152875,Voice Actor
251853,Scriptwriter
251853,Writer
175197,Voice Actor
114173,Animator
114173,Designer
143517,Animator
135955,Animator
135955,Designer
135955,Director
106064,Animator
151021,Animator
143529,Animator
138388,Animator
170201,Designer
138381,Animator
124670,Director
124670,Storyboarder 
107867,Director
314714,Producer
122477,Director
122477,Storyboarder 
118546,Animator
109339,Scriptwriter
121682,Animator
121682,Storyboarder 
121682,Director
143516,Director
106924,Animator
133299,Animator
103469,Animator
118452,Animator
138387,Animator
96955,Writer
107002,Mangaka
97906,Mangaka
120849,Mangaka
218470,Translator
224874,Letterer
225598,Translator
220710,Translator
223942,Letterer
220675,Translator
225647,Translator
230701,Translator
230703,Translator
230704,Translator
230705,Translator
230706,Translator
230707,Letterer
230707,Touch-up Artist
230708,Translator
230709,Translator
148726,Writer
230252,Translator
102689,Composer
103804,Animator
103815,Animator
104174,Animator
103798,Animator
155017,Animator
217731,Animator
142756,Animator
125207,Animator
134737,Animator
152267,Animator
248026,Animator
143521,Animator
152528,Animator
145069,Animator
196767,Animator
123074,Director
123074,Animator
123074,Storyboarder 
103979,Animator
110187,Animator
110627,Animator
111683,Animator
111683,Character Designer
113593,Producer
115058,Director
121193,Director
121193,Storyboarder
121365,Animator
95312,Voice Actor
102976,Vocalist
102976,Lyricist
103463,Animator
103970,Voice Actor
103970,ADR Director
276622,Director
276622,Storyboard Artist
116257,Director
116257,Storyboarder 
144017,Animator
134230,Animator
134230,Storyboard Artist
146539,Producer
212076,Scriptwriter
237487,Producer
103619,Animator
103619,Designer
235345,Production Assistant
105913,Animator
105913,Designer
106865,Background Artist
146608,Painter
141821,Audio Engineer
231868,Producer
137337,Animator
155024,Animator
147868,Animator
151686,Animator
155926,Animator
101805,Director
101805,Storyboarder 
102679,Animator
102679,Character Designer
122343,Animator
122343,Storyboard Artist
233152,Animator
144114,Animator
105261,Animator
109225,Band
99003,Animator
99003,Designer
99003,Illustrator
108747,Animator
108747,Designer
111061,Animator
111061,Designer
114986,Background Artist
115042,Audio Engineer
116979,Background Artist
118555,Director
118555,Animation Director
146609,Production Manager
105959,Background Artist
101823,Director
120614,Director
120614,CG Artist
102499,Art Director
146541,Scriptwriter
100323,Animator
100323,Designer
106111,Animator
106111,Designer
135805,Background Artist
135340,Director
154595,Director
111557,Scriptwriter
105139,Painter
112989,Animator
115623,Animator
116299,Animator
116299,Designer
121208,Animator
121207,Animator
124320,Animator
188102,Director
122441,Scriptwriter
182550,Vocalist
95251,Voice Actor
150595,Producer
152632,Producer
95886,Voice Actor
102152,Voice Actor
224608,Translator
114809,Voice Actor
101717,Director
101717,Animator
103366,Director
116419,Voice Actor
98066,Director
98066,Storyboard Artist
102146,Art Director
107409,Animator
107409,Designer
111163,Animator
111163,Designer
117239,Animator
120432,Animator
120432,Designer
101458,Animator
101458,Designer
101952,Director
101952,Animator
130388,Animator
169366,Animator
119997,Animator
151685,Animator
130402,Animator
140627,Sound Director
130391,Animator
110223,Animator
153672,Scriptwriter
148975,Animator
150944,Painter
136104,Animator
136104,Designer
130452,Animator
153298,Writer
141200,Mangaka
155900,Mangaka
96900,Mangaka
139733,Mangaka
167523,Mangaka
122194,Mangaka
139731,Writer
125415,Mangaka
134831,Mangaka
158735,Mangaka
138336,Mangaka
138470,Mangaka
120313,Mangaka
117167,Mangaka
132263,Mangaka
110063,Mangaka
98537,Mangaka
100417,Mangaka
104834,Mangaka
96902,Mangaka
102375,Mangaka
244782,ADR Director
96901,Mangaka
219441,Translator
214714,Translator
267719,Letterer
219093,Translator
275224,Translator
277600,Translator
214718,Translator
286685,Translator
95134,Voice Actor
95192,Voice Actor
95253,Voice Actor
95302,Voice Actor
95340,Voice Actor
95518,Voice Actor
96602,Voice Actor
100425,Musician
100425,Writer
102062,Composer
104078,Voice Actor
106416,Musician
107010,Band
107263,Arranger
107263,Composer
107263,Vocalist
117575,Scriptwriter
119896,Audio Engineer
119896,Producer
95250,Voice Actor
101527,Animator
101527,Character Designer
102937,Animator
102937,Designer
103184,Animator
103184,Designer
101824,Art Director
106851,Voice Actor
115737,Animator
115737,Designer
117591,Director
103341,Designer
103341,Animator
96510,Voice Actor
96138,Voice Actor
107109,Producer
252171,Band
156147,Producer
147486,Producer
184544,Animator
152963,Animator
152963,Designer
163687,Animator
163687,Designer
170468,Animator
147414,Animator
135978,Animator
106114,Animator
106114,Designer
150777,Animator
155041,Animator
148607,Animator
141178,Composite Artist
102173,Scriptwriter
106977,Vocalist
164107,Animator
197549,Animator
135166,Animator
187067,Producer
129532,Animator
151005,Animator
116617,Composer
116617,Vocalist
156127,Composite Artist
219735,Planner
219739,Production Assistant
219750,Vocalist
103840,Lyricist
174474,Animator
187056,Audio Engineer
152835,Animator
219738,Scriptwriter
219736,Animator
219740,Animator
191827,Background Artist
219762,Sound Director
152520,Animator
173698,Animator
223659,Animator
147134,Editor
134745,Animator
112625,Animator
112625,Designer
151113,Background Artist
196194,Background Artist
149937,Animator
102245,Scriptwriter
112847,Director
112847,Storyboarder 
115140,Director
115140,Storyboard Artist
103462,Scriptwriter
103462,Writer
115735,Animator
110953,Director
110953,Character Designer
110953,Producer
154701,Animator
156854,Animator
156855,Storyboarder 
156855,Director
156855,Animator
156856,Director
156856,Animator
156857,Director
216594,Lyricist
111063,Background Artist
115040,Animator
115040,Designer
111687,Producer
112799,Animator
101187,Animator
101187,Designer
101187,Mangaka
226459,Translator
285993,Translator
96903,Mangaka
98014,Mangaka
98152,Mangaka
104177,Mangaka
102075,Voice Actor
104868,Voice Actor
165551,Voice Actor
103191,Art Director
134733,Arranger
134733,Composer
315192,Musician
101909,Director
101909,Storyboard Artist
101929,Scriptwriter
100171,Arranger
100171,Composer
102543,Designer
